Change,Expected_amount,Expected_frequency,Edits,Frequency,Difference,Fold_difference,Species
KR,2,0.060606061,220,0.142487047,-0.081880986,2.351036269,human
SG,2,0.060606061,151,0.097797927,-0.037191867,1.613665803,human
IM,1,0.03030303,38,0.024611399,0.005691631,0.812176166,human
TA,4,0.121212121,148,0.095854922,0.025357199,0.790803109,human
IV,3,0.090909091,101,0.065414508,0.025494583,0.719559585,human
MV,1,0.03030303,31,0.02007772,0.01022531,0.662564767,human
HR,2,0.060606061,42,0.027202073,0.033403988,0.448834197,human
NS,2,0.060606061,93,0.060233161,0.0003729,0.99384715,human
ND,2,0.060606061,87,0.05634715,0.00425891,0.929727979,human
QR,2,0.060606061,128,0.082901554,-0.022295494,1.367875648,human
KE,2,0.060606061,176,0.113989637,-0.053383577,1.880829016,human
EG,2,0.060606061,114,0.073834197,-0.013228136,1.218264249,human
RG,2,0.060606061,99,0.064119171,-0.00351311,1.057966321,human
YC,2,0.060606061,64,0.041450777,0.019155283,0.683937824,human
DG,2,0.060606061,47,0.030440415,0.030165646,0.502266839,human
stop-W,2,0.060606061,5,0.003238342,0.057367719,0.053432642,human
syn,,,,,,,human
KR,2,0.041666667,14503,0.136294862,-0.094628196,3.271076695,specific_sepia
SG,2,0.041666667,6856,0.06443064,-0.022763974,1.546335366,specific_sepia
NS,2,0.041666667,5836,0.054844985,-0.013178318,1.316279638,specific_sepia
KE,2,0.041666667,5552,0.052176038,-0.010509371,1.252224906,specific_sepia
YC,2,0.041666667,4843,0.045513068,-0.003846401,1.09231362,specific_sepia
syn,15,0.3125,36310,0.341230535,-0.028730535,1.091937712,specific_sepia
ND,2,0.041666667,4807,0.04517475,-0.003508084,1.084194006,specific_sepia
MV,1,0.020833333,2396,0.022516892,-0.001683559,1.080810834,specific_sepia
RG,2,0.041666667,4086,0.038399008,0.003267659,0.921576182,specific_sepia
IM,1,0.020833333,2003,0.018823596,0.002009738,0.903532596,specific_sepia
QR,2,0.041666667,3678,0.034564745,0.007101921,0.829553891,specific_sepia
IV,3,0.0625,5041,0.047373812,0.015126188,0.757980998,specific_sepia
EG,2,0.041666667,2902,0.027272129,0.014394537,0.654531102,specific_sepia
TA,4,0.083333333,5523,0.051903504,0.031429829,0.622842053,specific_sepia
DG,2,0.041666667,1103,0.010365665,0.031301002,0.248775949,specific_sepia
HR,2,0.041666667,947,0.008899623,0.032767044,0.213590956,specific_sepia
stop-W,2,0.041666667,23,0.000216147,0.04145052,0.005187531,specific_sepia
KR,2,0.041666667,243,0.212041885,-0.170375218,5.089005236,conserved_cephalopods
SG,2,0.041666667,106,0.092495637,-0.05082897,2.219895288,conserved_cephalopods
YC,2,0.041666667,66,0.057591623,-0.015924956,1.382198953,conserved_cephalopods
RG,2,0.041666667,64,0.055846422,-0.014179756,1.340314136,conserved_cephalopods
QR,2,0.041666667,63,0.054973822,-0.013307155,1.319371728,conserved_cephalopods
IM,1,0.020833333,30,0.02617801,-0.005344677,1.256544503,conserved_cephalopods
MV,1,0.020833333,26,0.022687609,-0.001854276,1.089005236,conserved_cephalopods
NS,2,0.041666667,46,0.040139616,0.001527051,0.963350785,conserved_cephalopods
KE,2,0.041666667,43,0.037521815,0.004144852,0.90052356,conserved_cephalopods
ND,2,0.041666667,40,0.034904014,0.006762653,0.837696335,conserved_cephalopods
IV,3,0.0625,58,0.05061082,0.01188918,0.809773124,conserved_cephalopods
syn,15,0.3125,259,0.22600349,0.08649651,0.723211169,conserved_cephalopods
EG,2,0.041666667,32,0.027923211,0.013743455,0.670157068,conserved_cephalopods
TA,4,0.083333333,44,0.038394415,0.044938918,0.460732984,conserved_cephalopods
HR,2,0.041666667,13,0.011343805,0.030322862,0.272251309,conserved_cephalopods
DG,2,0.041666667,11,0.009598604,0.032068063,0.230366492,conserved_cephalopods
stop-W,2,0.041666667,2,0.001745201,0.039921466,0.041884817,conserved_cephalopods
KR,2,0.042,8304,0.133,-0.091,3.184914103,specific_oct_bim
SG,2,0.042,4503,0.072,-0.03,1.727079505,specific_oct_bim
NS,2,0.042,3484,0.056,-0.014,1.336252497,specific_oct_bim
IM,1,0.021,1543,0.025,-0.004,1.183603676,specific_oct_bim
KE,2,0.042,3020,0.048,-0.007,1.158290052,specific_oct_bim
ND,2,0.042,3006,0.048,-0.006,1.152920495,specific_oct_bim
syn,15,0.313,21881,0.35,-0.037,1.118964443,specific_oct_bim
YC,2,0.042,2657,0.042,-0.001,1.019065122,specific_oct_bim
MV,1,0.021,1225,0.02,0.001,0.939672393,specific_oct_bim
RG,2,0.042,2315,0.037,0.005,0.887894527,specific_oct_bim
QR,2,0.042,2014,0.032,0.009,0.772449061,specific_oct_bim
IV,3,0.063,2986,0.048,0.015,0.7634998,specific_oct_bim
TA,4,0.083,3287,0.053,0.031,0.630347583,specific_oct_bim
EG,2,0.042,1267,0.02,0.021,0.485944866,specific_oct_bim
DG,2,0.042,576,0.009,0.032,0.220918897,specific_oct_bim
HR,2,0.042,498,0.008,0.034,0.191002797,specific_oct_bim
stop-W,2,0.042,9,0,0.042,0.003451858,specific_oct_bim
KR,2,0.041666667,8647,0.133439299,-0.091772632,3.202543171,specific_squid
